Freq[Hz]     dBSPL  Phase[Deg]
5.00000     17.772   -52.094
5.07273     18.251   -52.057
5.14651     18.730   -52.030
5.22137     19.210   -52.012
5.29732     19.691   -52.003
5.37437     20.172   -52.004
5.45254     20.653   -52.014
5.53185     21.135   -52.035
5.61231     21.617   -52.064
5.69394     22.100   -52.104
5.77676     22.583   -52.153
5.86079     23.066   -52.213
5.94604     23.550   -52.282
6.03252     24.033   -52.362
6.12027     24.518   -52.452
6.20929     25.002   -52.552
6.29961     25.487   -52.663
6.39124     25.972   -52.784
6.48420     26.457   -52.916
6.57851     26.943   -53.058
6.67420     27.429   -53.211
6.77128     27.915   -53.375
6.86977     28.401   -53.550
6.96969     28.887   -53.736
7.07107     29.374   -53.934
7.17392     29.861   -54.142
7.27827     30.347   -54.362
7.38413     30.834   -54.594
7.49154     31.321   -54.836
7.60050     31.808   -55.091
7.71105     32.296   -55.358
7.82321     32.783   -55.636
7.93701     33.270   -55.926
8.05245     33.757   -56.229
8.16958     34.245   -56.543
8.28841     34.732   -56.871
8.40896     35.219   -57.210
8.53128     35.706   -57.562
8.65537     36.193   -57.927
8.78126     36.680   -58.305
8.90899     37.167   -58.696
9.03857     37.654   -59.100
9.17004     38.140   -59.517
9.30342     38.627   -59.947
9.43874     39.113   -60.391
9.57603     39.599   -60.848
9.71532     40.084   -61.319
9.85663     40.570   -61.804
10.0000     41.054   -62.303
10.1455     41.539   -62.817
10.2930     42.023   -63.344
10.4427     42.507   -63.885
10.5946     42.990   -64.442
10.7487     43.473   -65.012
10.9051     43.955   -65.598
11.0637     44.437   -66.198
11.2246     44.918   -66.813
11.3879     45.399   -67.444
11.5535     45.879   -68.089
11.7216     46.358   -68.750
11.8921     46.836   -69.426
12.0650     47.314   -70.117
12.2405     47.791   -70.824
12.4186     48.267   -71.547
12.5992     48.742   -72.285
12.7825     49.216   -73.039
12.9684     49.689   -73.808
13.1570     50.161   -74.594
13.3484     50.632   -75.395
13.5426     51.101   -76.213
13.7395     51.570   -77.046
13.9394     52.037   -77.895
14.1421     52.503   -78.760
14.3478     52.967   -79.641
14.5565     53.431   -80.537
14.7683     53.892   -81.449
14.9831     54.352   -82.377
15.2010     54.811   -83.321
15.4221     55.268   -84.280
15.6464     55.723   -85.254
15.8740     56.177   -86.244
16.1049     56.628   -87.248
16.3392     57.078   -88.268
16.5768     57.526   -89.302
16.8179     57.972   -90.351
17.0626     58.417   -91.414
17.3107     58.859   -92.491
17.5625     59.299   -93.582
17.8180     59.737   -94.686
18.0771     60.172   -95.803
18.3401     60.606   -96.934
18.6068     61.037   -98.076
18.8775     61.467   -99.232
19.1521     61.894  -100.399
19.4306     62.318  -101.577
19.7133     62.741  -102.767
20.0000     63.161  -103.968
20.2909     63.578  -105.179
20.5860     63.994  -106.400
20.8855     64.407  -107.631
21.1893     64.818  -108.871
21.4975     65.226  -110.121
21.8102     65.633  -111.379
22.1274     66.037  -112.645
22.4492     66.438  -113.919
22.7758     66.838  -115.200
23.1071     67.235  -116.489
23.4432     67.630  -117.785
23.7841     68.023  -119.088
24.1301     68.414  -120.397
24.4811     68.804  -121.712
24.8372     69.191  -123.034
25.1984     69.576  -124.361
25.5649     69.959  -125.694
25.9368     70.341  -127.033
26.3141     70.721  -128.377
26.6968     71.100  -129.727
27.0851     71.477  -131.083
27.4791     71.852  -132.444
27.8788     72.227  -133.812
28.2843     72.600  -135.185
28.6957     72.972  -136.565
29.1131     73.342  -137.952
29.5365     73.712  -139.346
29.9661     74.081  -140.747
30.4020     74.449  -142.156
30.8442     74.817  -143.574
31.2929     75.184  -145.001
31.7480     75.550  -146.438
32.2098     75.916  -147.885
32.6783     76.282  -149.345
33.1536     76.647  -150.816
33.6359     77.012  -152.302
34.1251     77.377  -153.802
34.6215     77.742  -155.318
35.1250     78.107  -156.851
35.6359     78.472  -158.404
36.1543     78.838  -159.976
36.6802     79.203  -161.570
37.2137     79.568  -163.189
37.7550     79.934  -164.832
38.3041     80.299  -166.503
38.8613     80.665  -168.204
39.4265     81.030  -169.937
40.0000     81.396  -171.705
40.5818     81.761  -173.509
41.1721     82.126  -175.352
41.7710     82.490  -177.237
42.3785     82.854  -179.167
42.9949     83.216   178.855
43.6203     83.576   176.827
44.2548     83.935   174.746
44.8985     84.292   172.608
45.5515     84.645   170.412
46.2141     84.995   168.154
46.8863     85.341   165.832
47.5683     85.682   163.444
48.2602     86.017   160.988
48.9621     86.345   158.463
49.6743     86.665   155.868
50.3968     86.977   153.203
51.1299     87.279   150.470
51.8736     87.569   147.668
52.6281     87.847   144.803
53.3936     88.112   141.877
54.1702     88.361   138.895
54.9581     88.595   135.864
55.7575     88.812   132.792
56.5685     89.011   129.686
57.3914     89.192   126.557
58.2261     89.354   123.415
59.0730     89.497   120.269
59.9323     89.620   117.133
60.8040     89.724   114.015
61.6884     89.809   110.927
62.5857     89.876   107.880
63.4960     89.925   104.882
64.4196     89.958   101.941
65.3566     89.975    99.066
66.3073     89.978    96.262
67.2717     89.968    93.534
68.2502     89.946    90.886
69.2429     89.914    88.321
70.2501     89.872    85.840
71.2719     89.822    83.443
72.3086     89.764    81.131
73.3603     89.701    78.903
74.4274     89.632    76.757
75.5099     89.559    74.693
76.6083     89.483    72.706
77.7226     89.404    70.796
78.8531     89.323    68.959
80.0000     89.240    67.193
81.1636     89.156    65.494
82.3442     89.072    63.861
83.5419     88.987    62.289
84.7570     88.903    60.777
85.9899     88.819    59.321
87.2406     88.735    57.919
88.5096     88.653    56.569
89.7970     88.571    55.267
91.1031     88.491    54.011
92.4282     88.412    52.800
93.7726     88.334    51.630
95.1366     88.258    50.501
96.5204     88.183    49.409
97.9243     88.110    48.354
99.3486     88.038    47.333
100.794     87.968    46.345
102.260     87.900    45.388
103.747     87.833    44.461
105.256     87.768    43.562
106.787     87.705    42.691
108.340     87.643    41.845
109.916     87.583    41.024
111.515     87.524    40.226
113.137     87.467    39.452
114.783     87.412    38.698
116.452     87.358    37.966
118.146     87.306    37.253
119.865     87.255    36.560
121.608     87.205    35.884
123.377     87.157    35.226
125.171     87.110    34.585
126.992     87.065    33.961
128.839     87.020    33.351
130.713     86.977    32.757
132.615     86.936    32.177
134.543     86.895    31.611
136.500     86.856    31.058
138.486     86.818    30.518
140.500     86.780    29.991
142.544     86.744    29.475
144.617     86.709    28.972
146.721     86.675    28.479
148.855     86.642    27.997
151.020     86.610    27.526
153.217     86.579    27.065
155.445     86.549    26.614
