Freq[Hz]     dBSPL  Phase[Deg]
5.00000     55.005   155.085
5.07273     55.116   154.981
5.14651     55.260   154.844
5.22137     55.453   154.659
5.29732     55.666   154.465
5.37437     55.900   154.248
5.45254     56.135   154.034
5.53185     56.370   153.817
5.61231     56.604   153.597
5.69394     56.839   153.373
5.77676     57.073   153.147
5.86079     57.309   152.918
5.94604     57.543   152.684
6.03252     57.778   152.448
6.12027     58.013   152.208
6.20929     58.247   151.965
6.29961     58.482   151.717
6.39124     58.716   151.465
6.48420     58.951   151.211
6.57851     59.185   150.951
6.67420     59.420   150.688
6.77128     59.655   150.422
6.86977     59.890   150.150
6.96969     60.125   149.874
7.07107     60.359   149.593
7.17392     60.594   149.309
7.27827     60.828   149.019
7.38413     61.063   148.724
7.49154     61.298   148.425
7.60050     61.533   148.122
7.71105     61.768   147.812
7.82321     62.002   147.497
7.93701     62.237   147.178
8.05245     62.471   146.852
8.16958     62.706   146.521
8.28841     62.941   146.184
8.40896     63.176   145.841
8.53128     63.410   145.492
8.65537     63.645   145.137
8.78126     63.880   144.774
8.90899     64.115   144.406
9.03857     64.350   144.030
9.17004     64.584   143.647
9.30342     64.819   143.256
9.43874     65.053   142.858
9.57603     65.289   142.451
9.71532     65.524   142.036
9.85663     65.758   141.612
10.0000     65.993   141.175
10.1455     66.228   140.724
10.2930     66.460   140.263
10.4427     66.688   139.800
10.5946     66.918   139.346
10.7487     67.146   138.907
10.9051     67.384   138.463
11.0637     67.623   137.986
11.2246     67.857   137.499
11.3879     68.096   137.004
11.5535     68.332   136.502
11.7216     68.578   135.999
11.8921     68.837   135.439
12.0650     69.101   134.762
12.2405     69.352   133.963
12.4186     69.583   133.081
12.5992     69.789   132.182
12.7825     69.970   131.364
12.9684     70.151   130.658
13.1570     70.336   130.025
13.3484     70.526   129.435
13.5426     70.727   128.852
13.7395     70.924   128.262
13.9394     71.124   127.677
14.1421     71.321   127.108
14.3478     71.524   126.563
14.5565     71.732   126.026
14.7683     71.950   125.475
14.9831     72.172   124.894
15.2010     72.398   124.291
15.4221     72.639   123.628
15.6464     72.881   122.862
15.8740     73.121   121.995
16.1049     73.356   121.005
16.3392     73.569   119.904
16.5768     73.753   118.767
16.8179     73.910   117.681
17.0626     74.054   116.686
17.3107     74.190   115.787
17.5625     74.321   115.010
17.8180     74.465   114.333
18.0771     74.623   113.692
18.3401     74.789   113.051
18.6068     74.960   112.408
18.8775     75.143   111.746
19.1521     75.332   111.037
19.4306     75.527   110.269
19.7133     75.725   109.425
20.0000     75.923   108.484
20.2909     76.117   107.415
20.5860     76.285   106.238
20.8855     76.429   105.025
21.1893     76.548   103.814
21.4975     76.634   102.677
21.8102     76.702   101.699
22.1274     76.769   100.875
22.4492     76.832   100.199
22.7758     76.910    99.657
23.1071     77.006    99.190
23.4432     77.114    98.763
23.7841     77.240    98.351
24.1301     77.383    97.901
24.4811     77.531    97.394
24.8372     77.686    96.821
25.1984     77.842    96.151
25.5649     77.980    95.422
25.9368     78.103    94.718
26.3141     78.226    94.059
26.6968     78.346    93.432
27.0851     78.465    92.865
27.4791     78.598    92.338
27.8788     78.745    91.797
28.2843     78.903    91.198
28.6957     79.066    90.496
29.1131     79.217    89.705
29.5365     79.354    88.871
29.9661     79.479    88.040
30.4020     79.595    87.239
30.8442     79.703    86.498
31.2929     79.822    85.801
31.7480     79.948    85.084
32.2098     80.070    84.353
32.6783     80.201    83.592
33.1536     80.325    82.775
33.6359     80.444    81.926
34.1251     80.555    81.038
34.6215     80.643    80.175
35.1250     80.732    79.368
35.6359     80.817    78.592
36.1543     80.898    77.870
36.6802     80.993    77.153
37.2137     81.078    76.425
37.7550     81.161    75.723
38.3041     81.245    75.034
38.8613     81.322    74.376
39.4265     81.406    73.758
40.0000     81.494    73.158
40.5818     81.597    72.536
41.1721     81.701    71.839
41.7710     81.793    71.088
42.3785     81.877    70.317
42.9949     81.941    69.568
43.6203     81.995    68.921
44.2548     82.060    68.369
44.8985     82.138    67.847
45.5515     82.228    67.304
46.2141     82.321    66.726
46.8863     82.422    66.088
47.5683     82.515    65.384
48.2602     82.596    64.666
48.9621     82.674    63.953
49.6743     82.749    63.230
50.3968     82.816    62.513
51.1299     82.881    61.819
51.8736     82.950    61.114
52.6281     83.013    60.365
53.3936     83.047    59.648
54.1702     83.076    59.056
54.9581     83.117    58.558
55.7575     83.170    58.101
56.5685     83.235    57.654
57.3914     83.316    57.144
58.2261     83.393    56.546
59.0730     83.457    55.912
59.9323     83.515    55.281
60.8040     83.567    54.674
61.6884     83.621    54.088
62.5857     83.673    53.512
63.4960     83.727    52.939
64.4196     83.783    52.348
65.3566     83.834    51.739
66.3073     83.884    51.110
67.2717     83.923    50.466
68.2502     83.944    49.870
69.2429     83.965    49.357
70.2501     83.987    48.924
71.2719     84.028    48.530
72.3086     84.078    48.101
73.3603     84.130    47.621
74.4274     84.183    47.086
75.5099     84.223    46.506
76.6083     84.247    45.939
77.7226     84.266    45.421
78.8531     84.279    44.954
80.0000     84.293    44.536
81.1636     84.308    44.155
82.3442     84.322    43.808
83.5419     84.337    43.497
84.7570     84.353    43.221
85.9899     84.369    42.994
87.2406     84.387    42.820
88.5096     84.412    42.706
89.7970     84.448    42.642
91.1031     84.499    42.603
92.4282     84.567    42.557
93.7726     84.648    42.489
95.1366     84.759    42.335
96.5204     84.878    42.006
97.9243     84.986    41.527
99.3486     85.087    40.920
100.794     85.163    40.209
102.260     85.206    39.504
103.747     85.237    38.870
105.256     85.259    38.308
106.787     85.282    37.813
108.340     85.305    37.356
109.916     85.329    36.930
111.515     85.353    36.528
113.137     85.377    36.147
114.783     85.403    35.786
116.452     85.428    35.446
118.146     85.457    35.129
119.865     85.489    34.829
121.608     85.527    34.531
123.377     85.572    34.214
125.171     85.621    33.859
126.992     85.669    33.461
128.839     85.715    33.021
130.713     85.754    32.547
132.615     85.787    32.054
134.543     85.814    31.541
136.500     85.834    31.003
138.486     85.839    30.458
140.500     85.831    29.921
142.544     85.790    29.470
144.617     85.732    29.234
146.721     85.687    29.216
148.855     85.658    29.387
151.020     85.679    29.659
153.217     85.753    29.817
155.445     85.841    29.760
157.706     85.932    29.478
160.000     85.997    29.000
162.327     86.013    28.495
164.688     86.002    28.116
167.084     85.984    27.893
169.514     85.967    27.827
171.980     85.967    27.889
174.481     85.992    27.990
177.019     86.029    28.089
179.594     86.079    28.188
182.206     86.141    28.287
184.856     86.229    28.354
187.545     86.346    28.284
190.273     86.471    27.992
193.041     86.585    27.466
195.849     86.670    26.740
198.697     86.696    25.970
201.587     86.683    25.335
204.520     86.654    24.890
207.494     86.620    24.636
210.512     86.595    24.558
213.574     86.594    24.591
216.681     86.612    24.678
219.833     86.655    24.761
223.030     86.717    24.773
226.274     86.790    24.665
229.565     86.852    24.444
232.905     86.898    24.183
236.292     86.927    23.958
239.729     86.950    23.818
243.216     86.979    23.763
246.754     87.027    23.732
250.343     87.081    23.680
253.984     87.141    23.603
257.678     87.202    23.505
261.426     87.263    23.403
265.229     87.325    23.311
269.087     87.393    23.232
273.001     87.470    23.158
276.972     87.562    23.048
281.000     87.665    22.853
285.088     87.769    22.563
289.234     87.870    22.180
293.441     87.959    21.724
297.709     88.033    21.250
302.040     88.102    20.786
306.433     88.167    20.334
310.890     88.232    19.886
315.412     88.297    19.426
320.000     88.363    18.939
324.655     88.423    18.418
329.377     88.478    17.866
334.168     88.516    17.318
