Freq[Hz]  Imp[Ohm]  Phase[Deg]
5.00000      6.961    25.278
5.07273      6.969    25.365
5.14651      6.979    25.480
5.22137      6.992    25.638
5.29732      7.008    25.819
5.37437      7.025    26.024
5.45254      7.043    26.235
5.53185      7.061    26.452
5.61231      7.079    26.674
5.69394      7.099    26.902
5.77676      7.118    27.134
5.86079      7.138    27.372
5.94604      7.159    27.614
6.03252      7.180    27.862
6.12027      7.202    28.114
6.20929      7.225    28.371
6.29961      7.248    28.632
6.39124      7.271    28.898
6.48420      7.295    29.169
6.57851      7.320    29.445
6.67420      7.346    29.726
6.77128      7.372    30.011
6.86977      7.399    30.301
6.96969      7.426    30.596
7.07107      7.455    30.895
7.17392      7.484    31.200
7.27827      7.513    31.509
7.38413      7.544    31.823
7.49154      7.575    32.143
7.60050      7.608    32.467
7.71105      7.641    32.797
7.82321      7.675    33.131
7.93701      7.710    33.472
8.05245      7.745    33.818
8.16958      7.782    34.169
8.28841      7.820    34.526
8.40896      7.858    34.890
8.53128      7.898    35.259
8.65537      7.939    35.635
8.78126      7.980    36.018
8.90899      8.023    36.408
9.03857      8.067    36.806
9.17004      8.113    37.211
9.30342      8.159    37.626
9.43874      8.207    38.049
9.57603      8.255    38.482
9.71532      8.306    38.927
9.85663      8.357    39.383
10.0000      8.410    39.853
10.1455      8.464    40.339
10.2930      8.520    40.843
10.4427      8.577    41.370
10.5946      8.635    41.924
10.7487      8.695    42.520
10.9051      8.761    43.166
11.0637      8.834    43.872
11.2246      8.927    44.617
11.3879      9.039    45.357
11.5535      9.173    46.051
11.7216      9.323    46.650
11.8921      9.477    47.136
12.0650      9.624    47.536
12.2405      9.759    47.907
12.4186      9.891    48.293
12.5992     10.026    48.684
12.7825     10.156    49.087
12.9684     10.290    49.508
13.1570     10.420    49.953
13.3484     10.550    50.458
13.5426     10.691    51.040
13.7395     10.856    51.674
13.9394     11.055    52.294
14.1421     11.275    52.834
14.3478     11.508    53.270
14.5565     11.733    53.626
14.7683     11.949    53.959
14.9831     12.160    54.316
15.2010     12.374    54.726
15.4221     12.606    55.184
15.6464     12.862    55.652
15.8740     13.138    56.098
16.1049     13.430    56.504
16.3392     13.726    56.883
16.5768     14.029    57.267
16.8179     14.342    57.679
17.0626     14.675    58.132
17.3107     15.037    58.623
17.5625     15.440    59.132
17.8180     15.886    59.640
18.0771     16.388    60.141
18.3401     16.987    60.553
18.6068     17.654    60.767
18.8775     18.360    60.745
19.1521     19.075    60.471
19.4306     19.732    60.010
19.7133     20.304    59.548
20.0000     20.845    59.224
20.2909     21.395    59.084
20.5860     22.005    59.118
20.8855     22.716    59.253
21.1893     23.527    59.419
21.4975     24.449    59.581
21.8102     25.465    59.767
22.1274     26.684    59.966
22.4492     28.138    60.092
22.7758     29.883    60.057
23.1071     32.006    59.670
23.4432     34.362    58.795
23.7841     36.905    57.456
24.1301     39.652    55.614
24.4811     42.341    53.425
24.8372     45.220    51.101
25.1984     48.659    48.425
25.5649     52.280    45.240
25.9368     56.182    41.515
26.3141     60.269    37.008
26.6968     63.865    31.741
27.0851     66.838    25.974
27.4791     69.066    19.848
27.8788     70.284    13.568
28.2843     70.618     7.319
28.6957     70.015     1.243
29.1131     68.734    -4.544
29.5365     66.820    -9.963
29.9661     64.616   -14.977
30.4020     62.328   -19.722
30.8442     59.739   -24.224
31.2929     57.004   -28.417
31.7480     54.167   -32.310
32.2098     51.088   -35.785
32.6783     48.062   -38.729
33.1536     45.214   -41.177
33.6359     42.650   -43.213
34.1251     40.431   -44.989
34.6215     38.456   -46.623
35.1250     36.701   -48.184
35.6359     35.097   -49.761
36.1543     33.487   -51.313
36.6802     31.920   -52.761
37.2137     30.369   -54.073
37.7550     28.831   -55.176
38.3041     27.359   -56.025
38.8613     26.004   -56.655
39.4265     24.725   -57.084
40.0000     23.557   -57.281
40.5818     22.532   -57.320
41.1721     21.616   -57.283
41.7710     20.780   -57.170
42.3785     20.084   -57.074
42.9949     19.414   -57.044
43.6203     18.785   -57.035
44.2548     18.155   -57.007
44.8985     17.556   -56.915
45.5515     16.991   -56.786
46.2141     16.444   -56.614
46.8863     15.927   -56.391
47.5683     15.429   -56.118
48.2602     14.943   -55.759
48.9621     14.492   -55.307
49.6743     14.074   -54.789
50.3968     13.690   -54.220
51.1299     13.342   -53.630
51.8736     13.020   -53.038
52.6281     12.716   -52.440
53.3936     12.437   -51.845
54.1702     12.169   -51.260
54.9581     11.914   -50.670
55.7575     11.668   -50.065
56.5685     11.434   -49.442
57.3914     11.213   -48.800
58.2261     11.010   -48.160
59.0730     10.814   -47.535
59.9323     10.618   -46.894
60.8040     10.429   -46.202
61.6884     10.254   -45.465
62.5857     10.097   -44.704
63.4960      9.962   -43.961
64.4196      9.841   -43.273
65.3566      9.724   -42.641
66.3073      9.602   -42.030
67.2717      9.481   -41.399
68.2502      9.370   -40.746
69.2429      9.276   -40.126
70.2501      9.189   -39.582
71.2719      9.099   -39.110
72.3086      8.998   -38.689
73.3603      8.877   -38.247
74.4274      8.747   -37.711
75.5099      8.620   -37.068
76.6083      8.504   -36.329
77.7226      8.411   -35.554
78.8531      8.329   -34.794
80.0000      8.258   -34.052
81.1636      8.195   -33.351
82.3442      8.132   -32.680
83.5419      8.076   -32.034
84.7570      8.023   -31.439
85.9899      7.962   -30.877
87.2406      7.896   -30.308
88.5096      7.825   -29.704
89.7970      7.752   -29.037
91.1031      7.685   -28.294
92.4282      7.633   -27.518
93.7726      7.591   -26.748
95.1366      7.559   -25.995
96.5204      7.535   -25.283
97.9243      7.515   -24.619
99.3486      7.498   -24.000
100.794      7.482   -23.425
102.260      7.464   -22.890
103.747      7.444   -22.381
105.256      7.422   -21.891
106.787      7.396   -21.403
108.340      7.371   -20.907
109.916      7.347   -20.423
111.515      7.322   -19.954
113.137      7.293   -19.482
114.783      7.263   -18.991
116.452      7.234   -18.489
118.146      7.205   -17.971
119.865      7.176   -17.427
121.608      7.152   -16.864
123.377      7.133   -16.303
125.171      7.116   -15.747
126.992      7.105   -15.204
128.839      7.098   -14.699
130.713      7.090   -14.243
132.615      7.075   -13.816
134.543      7.053   -13.372
136.500      7.029   -12.886
138.486      7.005   -12.354
140.500      6.986   -11.779
142.544      6.977   -11.195
144.617      6.973   -10.632
146.721      6.972   -10.099
148.855      6.972    -9.593
151.020      6.972    -9.106
153.217      6.972    -8.633
155.445      6.972    -8.170
157.706      6.972    -7.717
160.000      6.972    -7.271
162.327      6.972    -6.832
164.688      6.972    -6.398
167.084      6.972    -5.968
169.514      6.972    -5.543
171.980      6.972    -5.120
174.481      6.972    -4.700
177.019      6.972    -4.282
179.594      6.972    -3.865
182.206      6.972    -3.448
184.856      6.972    -3.031
187.545      6.972    -2.612
190.273      6.972    -2.191
193.041      6.972    -1.766
195.849      6.972    -1.334
198.697      6.972    -0.889
201.587      6.973    -0.430
204.520      6.977     0.045
207.494      6.987     0.522
210.512      7.002     0.974
213.574      7.018     1.392
216.681      7.034     1.775
219.833      7.047     2.131
223.030      7.053     2.487
226.274      7.055     2.874
229.565      7.059     3.300
232.905      7.066     3.763
236.292      7.083     4.232
239.729      7.107     4.660
243.216      7.132     5.040
246.754      7.156     5.373
250.343      7.174     5.677
253.984      7.183     5.999
257.678      7.192     6.366
261.426      7.208     6.758
265.229      7.231     7.131
269.087      7.256     7.463
273.001      7.281     7.749
276.972      7.300     7.997
281.000      7.309     8.246
285.088      7.314     8.532
289.234      7.317     8.862
293.441      7.324     9.229
297.709      7.338     9.604
302.040      7.355     9.963
306.433      7.371    10.302
310.890      7.387    10.627
315.412      7.398    10.954
320.000      7.407    11.308
324.655      7.421    11.685
329.377      7.438    12.057
334.168      7.455    12.420
339.028      7.473    12.773
343.959      7.487    13.123
348.962      7.499    13.499
354.038      7.512    13.907
359.188      7.528    14.346
364.412      7.555    14.790
369.713      7.587    15.200
375.090      7.618    15.583
380.546      7.650    15.950
386.081      7.681    16.301
391.697      7.709    16.657
397.394      7.739    17.034
403.175      7.778    17.407
409.039      7.824    17.728
414.989      7.866    17.995
421.025      7.906    18.222
427.149      7.937    18.415
433.362      7.957    18.615
439.665      7.971    18.858
