Freq[Hz]     dBSPL  Phase[Deg]
5.00000      3.029   174.848
5.07273      3.144   174.826
5.14651      3.295   174.799
5.22137      3.496   174.770
5.29732      3.717   174.750
5.37437      3.962   174.732
5.45254      4.206   174.718
5.53185      4.450   174.705
5.61231      4.695   174.693
5.69394      4.939   174.681
5.77676      5.183   174.669
5.86079      5.427   174.657
5.94604      5.672   174.645
6.03252      5.916   174.633
6.12027      6.160   174.622
6.20929      6.404   174.610
6.29961      6.649   174.599
6.39124      6.893   174.587
6.48420      7.137   174.575
6.57851      7.382   174.564
6.67420      7.626   174.552
6.77128      7.870   174.541
6.86977      8.114   174.530
6.96969      8.359   174.518
7.07107      8.603   174.506
7.17392      8.847   174.495
7.27827      9.092   174.483
7.38413      9.336   174.471
7.49154      9.580   174.459
7.60050      9.824   174.447
7.71105     10.069   174.436
7.82321     10.313   174.424
7.93701     10.557   174.412
8.05245     10.801   174.399
8.16958     11.046   174.387
8.28841     11.290   174.375
8.40896     11.534   174.362
8.53128     11.779   174.350
8.65537     12.023   174.337
8.78126     12.267   174.324
8.90899     12.511   174.311
9.03857     12.756   174.298
9.17004     13.000   174.285
9.30342     13.244   174.272
9.43874     13.489   174.259
9.57603     13.733   174.245
9.71532     13.977   174.232
9.85663     14.221   174.218
10.0000     14.466   174.204
10.1455     14.710   174.190
10.2930     14.954   174.176
10.4427     15.198   174.162
10.5946     15.443   174.147
10.7487     15.687   174.133
10.9051     15.931   174.118
11.0637     16.176   174.103
11.2246     16.420   174.088
11.3879     16.664   174.073
11.5535     16.908   174.058
11.7216     17.153   174.042
11.8921     17.397   174.026
12.0650     17.641   174.010
12.2405     17.886   173.994
12.4186     18.130   173.978
12.5992     18.374   173.961
12.7825     18.618   173.945
12.9684     18.863   173.928
13.1570     19.107   173.911
13.3484     19.351   173.894
13.5426     19.595   173.876
13.7395     19.840   173.859
13.9394     20.084   173.841
14.1421     20.328   173.823
14.3478     20.573   173.804
14.5565     20.817   173.786
14.7683     21.061   173.767
14.9831     21.305   173.748
15.2010     21.550   173.728
15.4221     21.794   173.708
15.6464     22.038   173.688
15.8740     22.282   173.668
16.1049     22.527   173.647
16.3392     22.771   173.626
16.5768     23.015   173.605
16.8179     23.260   173.583
17.0626     23.504   173.562
17.3107     23.748   173.540
17.5625     23.992   173.517
17.8180     24.237   173.495
18.0771     24.481   173.472
18.3401     24.725   173.448
18.6068     24.970   173.425
18.8775     25.214   173.401
19.1521     25.458   173.377
19.4306     25.702   173.352
19.7133     25.947   173.328
20.0000     26.191   173.302
20.2909     26.435   173.277
20.5860     26.679   173.251
20.8855     26.924   173.225
21.1893     27.168   173.198
21.4975     27.412   173.171
21.8102     27.657   173.144
22.1274     27.901   173.116
22.4492     28.145   173.088
22.7758     28.389   173.060
23.1071     28.634   173.031
