Freq[Hz]  Imp[Ohm]  Phase[Deg]
5.00000      0.184     0.315
5.07273      0.184     0.317
5.14651      0.184     0.319
5.22137      0.184     0.323
5.29732      0.184     0.327
5.37437      0.184     0.332
5.45254      0.184     0.336
5.53185      0.184     0.341
5.61231      0.184     0.346
5.69394      0.184     0.351
5.77676      0.184     0.356
5.86079      0.184     0.361
5.94604      0.184     0.366
6.03252      0.184     0.371
6.12027      0.184     0.376
6.20929      0.184     0.381
6.29961      0.184     0.387
6.39124      0.184     0.392
6.48420      0.184     0.398
6.57851      0.184     0.403
6.67420      0.184     0.409
6.77128      0.184     0.415
6.86977      0.184     0.421
6.96969      0.184     0.427
7.07107      0.184     0.433
7.17392      0.185     0.439
7.27827      0.185     0.445
7.38413      0.185     0.451
7.49154      0.185     0.458
7.60050      0.185     0.464
7.71105      0.185     0.471
7.82321      0.185     0.478
7.93701      0.185     0.484
8.05245      0.185     0.491
8.16958      0.185     0.498
8.28841      0.185     0.505
8.40896      0.185     0.512
8.53128      0.185     0.520
8.65537      0.185     0.527
8.78126      0.185     0.535
8.90899      0.185     0.542
9.03857      0.185     0.550
9.17004      0.185     0.558
9.30342      0.185     0.566
9.43874      0.185     0.574
9.57603      0.185     0.582
9.71532      0.185     0.590
9.85663      0.185     0.599
10.0000      0.185     0.607
10.1455      0.185     0.616
10.2930      0.185     0.625
10.4427      0.185     0.634
10.5946      0.185     0.643
10.7487      0.185     0.652
10.9051      0.185     0.661
11.0637      0.185     0.671
11.2246      0.185     0.680
11.3879      0.185     0.690
11.5535      0.185     0.700
11.7216      0.185     0.710
11.8921      0.185     0.720
12.0650      0.185     0.730
12.2405      0.185     0.741
12.4186      0.185     0.751
12.5992      0.185     0.762
12.7825      0.185     0.773
12.9684      0.185     0.784
13.1570      0.185     0.795
13.3484      0.185     0.807
13.5426      0.185     0.818
13.7395      0.185     0.830
13.9394      0.185     0.842
14.1421      0.185     0.854
14.3478      0.185     0.866
14.5565      0.185     0.879
14.7683      0.185     0.891
14.9831      0.185     0.904
15.2010      0.185     0.917
15.4221      0.185     0.930
15.6464      0.185     0.944
15.8740      0.185     0.957
16.1049      0.185     0.971
16.3392      0.185     0.985
16.5768      0.185     0.999
16.8179      0.185     1.014
17.0626      0.185     1.028
17.3107      0.185     1.043
17.5625      0.185     1.058
17.8180      0.185     1.073
18.0771      0.185     1.089
18.3401      0.185     1.105
18.6068      0.185     1.120
18.8775      0.185     1.137
19.1521      0.185     1.153
19.4306      0.185     1.170
19.7133      0.185     1.186
20.0000      0.185     1.203
20.2909      0.185     1.221
20.5860      0.185     1.238
20.8855      0.185     1.256
21.1893      0.185     1.274
21.4975      0.185     1.293
21.8102      0.185     1.311
22.1274      0.185     1.330
22.4492      0.185     1.349
22.7758      0.185     1.368
23.1071      0.185     1.388
23.4432      0.185     1.408
23.7841      0.185     1.428
24.1301      0.185     1.449
24.4811      0.185     1.469
24.8372      0.185     1.490
25.1984      0.185     1.512
25.5649      0.185     1.533
25.9368      0.185     1.555
26.3141      0.185     1.578
26.6968      0.185     1.600
27.0851      0.185     1.623
27.4791      0.185     1.646
27.8788      0.185     1.670
28.2843      0.185     1.694
28.6957      0.185     1.718
29.1131      0.185     1.742
29.5365      0.185     1.767
29.9661      0.185     1.792
30.4020      0.185     1.818
30.8442      0.185     1.844
31.2929      0.185     1.870
31.7480      0.185     1.897
32.2098      0.185     1.924
32.6783      0.185     1.951
33.1536      0.185     1.979
33.6359      0.185     2.007
34.1251      0.185     2.036
34.6215      0.185     2.065
35.1250      0.185     2.094
35.6359      0.185     2.124
36.1543      0.185     2.154
36.6802      0.185     2.185
37.2137      0.185     2.215
37.7550      0.185     2.247
38.3041      0.185     2.279
38.8613      0.185     2.311
39.4265      0.185     2.344
40.0000      0.185     2.377
40.5818      0.185     2.411
41.1721      0.185     2.445
41.7710      0.185     2.479
42.3785      0.185     2.514
42.9949      0.185     2.550
43.6203      0.185     2.586
44.2548      0.185     2.622
44.8985      0.185     2.659
45.5515      0.185     2.696
46.2141      0.185     2.734
46.8863      0.185     2.773
47.5683      0.185     2.812
48.2602      0.186     2.851
48.9621      0.186     2.891
