Freq[Hz]     dBSPL  Phase[Deg]
5.00000      2.222  -176.075
5.07273      2.344  -176.098
5.14651      2.502  -176.126
5.22137      2.713  -176.157
5.29732      2.947  -176.177
5.37437      3.203  -176.197
5.45254      3.460  -176.211
5.53185      3.717  -176.224
5.61231      3.974  -176.237
5.69394      4.231  -176.250
5.77676      4.488  -176.263
5.86079      4.745  -176.275
5.94604      5.002  -176.287
6.03252      5.259  -176.300
6.12027      5.516  -176.312
6.20929      5.773  -176.324
6.29961      6.030  -176.336
6.39124      6.287  -176.348
6.48420      6.544  -176.360
6.57851      6.801  -176.372
6.67420      7.058  -176.384
6.77128      7.315  -176.396
6.86977      7.572  -176.408
6.96969      7.829  -176.420
7.07107      8.086  -176.432
7.17392      8.343  -176.445
7.27827      8.600  -176.457
7.38413      8.856  -176.470
7.49154      9.113  -176.482
7.60050      9.370  -176.494
7.71105      9.627  -176.506
7.82321      9.884  -176.519
7.93701     10.141  -176.531
8.05245     10.398  -176.544
8.16958     10.655  -176.557
8.28841     10.912  -176.570
8.40896     11.169  -176.583
8.53128     11.426  -176.596
8.65537     11.683  -176.609
8.78126     11.940  -176.623
8.90899     12.197  -176.636
9.03857     12.454  -176.650
9.17004     12.711  -176.664
9.30342     12.968  -176.677
9.43874     13.225  -176.691
9.57603     13.482  -176.705
9.71532     13.739  -176.719
9.85663     13.996  -176.734
10.0000     14.253  -176.748
10.1455     14.509  -176.763
10.2930     14.766  -176.777
10.4427     15.023  -176.792
10.5946     15.280  -176.807
10.7487     15.537  -176.823
10.9051     15.794  -176.838
11.0637     16.051  -176.854
11.2246     16.308  -176.869
11.3879     16.565  -176.885
11.5535     16.822  -176.901
11.7216     17.079  -176.917
11.8921     17.336  -176.934
12.0650     17.593  -176.950
12.2405     17.850  -176.967
12.4186     18.107  -176.984
12.5992     18.364  -177.001
12.7825     18.621  -177.019
12.9684     18.878  -177.036
13.1570     19.135  -177.054
13.3484     19.392  -177.072
13.5426     19.649  -177.090
13.7395     19.906  -177.109
13.9394     20.162  -177.127
14.1421     20.419  -177.146
14.3478     20.676  -177.165
14.5565     20.933  -177.185
14.7683     21.190  -177.204
14.9831     21.447  -177.224
15.2010     21.704  -177.245
15.4221     21.961  -177.266
15.6464     22.218  -177.287
15.8740     22.475  -177.308
16.1049     22.732  -177.330
16.3392     22.989  -177.352
16.5768     23.246  -177.374
16.8179     23.503  -177.397
17.0626     23.760  -177.419
17.3107     24.017  -177.443
17.5625     24.274  -177.466
17.8180     24.531  -177.490
18.0771     24.788  -177.514
18.3401     25.045  -177.538
18.6068     25.302  -177.563
18.8775     25.559  -177.588
19.1521     25.815  -177.613
19.4306     26.072  -177.639
19.7133     26.329  -177.665
20.0000     26.586  -177.692
20.2909     26.843  -177.718
20.5860     27.100  -177.745
20.8855     27.357  -177.773
21.1893     27.614  -177.801
21.4975     27.871  -177.829
21.8102     28.128  -177.857
22.1274     28.385  -177.886
22.4492     28.642  -177.916
22.7758     28.899  -177.946
23.1071     29.156  -177.976
23.4432     29.413  -178.007
23.7841     29.670  -178.038
24.1301     29.927  -178.069
24.4811     30.184  -178.101
24.8372     30.441  -178.133
25.1984     30.698  -178.166
25.5649     30.955  -178.199
25.9368     31.212  -178.233
26.3141     31.468  -178.267
26.6968     31.725  -178.302
27.0851     31.982  -178.337
27.4791     32.239  -178.373
27.8788     32.496  -178.409
28.2843     32.753  -178.445
28.6957     33.010  -178.482
29.1131     33.267  -178.520
29.5365     33.524  -178.558
29.9661     33.781  -178.597
30.4020     34.038  -178.636
30.8442     34.295  -178.676
31.2929     34.552  -178.716
31.7480     34.809  -178.757
32.2098     35.066  -178.799
32.6783     35.323  -178.841
33.1536     35.580  -178.884
33.6359     35.837  -178.927
34.1251     36.094  -178.971
34.6215     36.351  -179.016
35.1250     36.608  -179.061
35.6359     36.865  -179.106
36.1543     37.121  -179.153
36.6802     37.378  -179.200
37.2137     37.635  -179.248
37.7550     37.892  -179.296
38.3041     38.149  -179.346
38.8613     38.406  -179.395
39.4265     38.663  -179.446
40.0000     38.920  -179.497
40.5818     39.177  -179.549
41.1721     39.434  -179.602
41.7710     39.691  -179.656
42.3785     39.948  -179.710
42.9949     40.205  -179.765
43.6203     40.462  -179.821
44.2548     40.719  -179.878
44.8985     40.976  -179.936
45.5515     41.233  -179.994
46.2141     41.490   179.947
46.8863     41.747   179.887
47.5683     42.004   179.826
48.2602     42.261   179.764
48.9621     42.518   179.701
49.6743     42.774   179.637
50.3968     43.031   179.572
51.1299     43.288   179.507
51.8736     43.545   179.440
52.6281     43.802   179.372
53.3936     44.059   179.304
54.1702     44.316   179.234
54.9581     44.573   179.163
55.7575     44.830   179.092
56.5685     45.087   179.019
57.3914     45.344   178.945
58.2261     45.601   178.870
59.0730     45.858   178.793
59.9323     46.115   178.716
60.8040     46.372   178.637
61.6884     46.629   178.557
62.5857     46.886   178.476
63.4960     47.143   178.393
64.4196     47.400   178.309
65.3566     47.657   178.224
66.3073     47.914   178.137
67.2717     48.171   178.048
68.2502     48.427   177.959
69.2429     48.684   177.867
70.2501     48.941   177.774
71.2719     49.198   177.679
72.3086     49.455   177.582
73.3603     49.712   177.483
74.4274     49.969   177.383
75.5099     50.226   177.280
76.6083     50.483   177.174
77.7226     50.740   177.067
78.8531     50.997   176.956
80.0000     51.254   176.843
81.1636     51.511   176.726
82.3442     51.768   176.606
83.5419     52.025   176.482
84.7570     52.282   176.354
85.9899     52.539   176.220
87.2406     52.796   176.080
88.5096     53.053   175.933
89.7970     53.310   175.777
91.1031     53.567   175.610
92.4282     53.824   175.430
93.7726     54.080   175.229
95.1366     54.337   174.999
96.5204     54.592   174.726
97.9243     54.841   174.398
99.3486     55.076   174.020
100.794     55.289   173.629
102.260     55.478   173.280
103.747     55.645   173.036
105.256     55.794   172.963
106.787     55.939   173.105
108.340     56.091   173.476
109.916     56.268   174.061
111.515     56.482   174.800
113.137     56.742   175.603
114.783     57.046   176.373
116.452     57.388   177.017
118.146     57.752   177.480
119.865     58.128   177.753
121.608     58.511   177.841
123.377     58.896   177.745
125.171     59.280   177.452
126.992     59.650   176.945
128.839     59.989   176.264
130.713     60.297   175.465
132.615     60.561   174.624
134.543     60.784   173.862
136.500     60.983   173.254
138.486     61.168   172.824
140.500     61.350   172.582
142.544     61.544   172.491
144.617     61.749   172.505
146.721     61.969   172.579
148.855     62.197   172.681
151.020     62.429   172.819
153.217     62.666   173.012
155.445     62.911   173.268
157.706     63.172   173.587
160.000     63.454   173.938
162.327     63.759   174.271
164.688     64.083   174.533
167.084     64.413   174.709
169.514     64.745   174.812
171.980     65.074   174.870
174.481     65.401   174.937
177.019     65.735   175.051
179.594     66.092   175.202
182.206     66.482   175.328
184.856     66.903   175.350
187.545     67.353   175.185
190.273     67.823   174.749
193.041     68.297   173.996
195.849     68.764   172.894
198.697     69.200   171.435
201.587     69.585   169.667
204.520     69.897   167.701
207.494     70.126   165.722
210.512     70.280   163.939
213.574     70.385   162.498
216.681     70.472   161.449
219.833     70.566   160.754
223.030     70.680   160.333
226.274     70.819   160.109
229.565     70.982   160.045
232.905     71.184   160.102
236.292     71.440   160.158
239.729     71.743   160.042
243.216     72.069   159.585
246.754     72.365   158.724
250.343     72.569   157.653
253.984     72.673   156.761
257.678     72.703   156.436
261.426     72.729   156.947
265.229     72.872   158.223
269.087     73.213   159.770
273.001     73.739   160.931
276.972     74.354   161.185
281.000     74.934   160.387
285.088     75.394   158.809
289.234     75.710   156.984
293.441     75.921   155.418
297.709     76.100   154.333
302.040     76.302   153.679
306.433     76.560   153.231
310.890     76.862   152.751
315.412     77.186   152.125
320.000     77.515   151.336
324.655     77.842   150.385
329.377     78.153   149.293
334.168     78.439   148.124
339.028     78.709   146.931
343.959     78.960   145.751
348.962     79.199   144.628
354.038     79.440   143.558
359.188     79.683   142.503
364.412     79.929   141.440
369.713     80.176   140.345
375.090     80.424   139.192
380.546     80.666   137.960
386.081     80.892   136.659
391.697     81.098   135.325
397.394     81.280   134.004
403.175     81.441   132.755
409.039     81.590   131.617
414.989     81.735   130.594
421.025     81.881   129.673
427.149     82.033   128.831
433.362     82.188   128.056
439.665     82.352   127.337
446.060     82.526   126.650
452.548     82.708   125.980
459.131     82.899   125.310
465.809     83.097   124.619
472.584     83.298   123.901
479.458     83.500   123.159
486.432     83.703   122.399
493.507     83.906   121.627
500.686     84.108   120.846
507.968     84.311   120.058
515.357     84.514   119.268
522.853     84.716   118.477
530.458     84.919   117.693
538.174     85.124   116.922
546.002     85.332   116.164
553.943     85.549   115.411
562.001     85.774   114.639
570.175     86.004   113.837
578.469     86.240   113.010
586.883     86.483   112.155
595.419     86.740   111.252
604.080     87.010   110.270
612.866     87.298   109.140
621.780     87.590   107.783
630.824     87.863   106.197
640.000     88.107   104.427
649.309     88.315   102.524
658.753     88.478   100.574
668.335     88.598    98.657
678.056     88.666    96.878
687.919     88.695    95.379
697.925     88.709    94.252
708.077     88.734    93.536
718.376     88.818    93.142
728.825     88.979    92.845
739.426     89.206    92.436
750.181     89.480    91.757
761.093     89.769    90.727
772.163     90.043    89.388
783.394     90.295    87.828
794.789     90.520    86.116
806.349     90.719    84.319
818.078     90.897    82.479
829.977     91.057    80.607
842.050     91.199    78.713
854.298     91.320    76.824
866.724     91.431    74.945
879.330     91.529    73.056
892.120     91.608    71.168
905.097     91.669    69.302
918.262     91.708    67.481
931.618     91.727    65.758
945.169     91.737    64.154
958.917     91.742    62.660
972.864     91.746    61.262
987.015     91.750    59.952
1001.37     91.755    58.731
1015.94     91.766    57.603
1030.71     91.790    56.545
1045.71     91.836    55.493
1060.92     91.897    54.368
1076.35     91.956    53.147
1092.00     92.008    51.839
1107.89     92.038    50.484
1124.00     92.041    49.183
1140.35     92.031    48.010
1156.94     92.021    46.985
1173.77     92.025    46.090
1190.84     92.059    45.238
1208.16     92.116    44.331
1225.73     92.185    43.300
1243.56     92.251    42.124
1261.65     92.296    40.855
1280.00     92.318    39.580
1298.62     92.322    38.361
1317.51     92.317    37.244
1336.67     92.319    36.235
1356.11     92.341    35.265
1375.84     92.382    34.224
1395.85     92.419    33.069
1416.15     92.442    31.835
1436.75     92.440    30.589
1457.65     92.413    29.451
1478.85     92.386    28.485
1500.36     92.385    27.637
1522.19     92.422    26.770
1544.33     92.489    25.731
1566.79     92.559    24.433
1589.58     92.610    22.874
1612.70     92.614    21.136
1636.16     92.559    19.373
1659.95     92.452    17.744
1684.10     92.307    16.361
1708.60     92.145    15.284
1733.45     91.993    14.497
1758.66     91.867    13.915
1784.24     91.776    13.423
1810.19     91.714    12.909
1836.52     91.663    12.321
1863.24     91.616    11.648
1890.34     91.553    10.920
1917.83     91.469    10.231
1945.73     91.373     9.652
1974.03     91.269     9.231
2002.74     91.176     8.994
2031.87     91.117     8.878
2061.43     91.091     8.785
2091.41     91.106     8.608
2121.83     91.147     8.224
2152.69     91.187     7.592
2184.01     91.207     6.745
2215.77     91.190     5.758
2248.00     91.121     4.777
2280.70     91.008     3.970
2313.87     90.871     3.461
2347.53     90.745     3.266
2381.68     90.657     3.289
2416.32     90.620     3.373
2451.46     90.627     3.355
2487.12     90.657     3.127
2523.30     90.678     2.693
2560.00     90.674     2.153
2597.24     90.650     1.603
2635.01     90.611     1.095
2673.34     90.563     0.663
2712.23     90.522     0.291
2751.68     90.484    -0.059
2791.70     90.452    -0.421
2832.31     90.415    -0.810
2873.50     90.365    -1.195
2915.30     90.297    -1.516
2957.70     90.216    -1.691
3000.72     90.138    -1.676
3044.37     90.081    -1.490
3088.65     90.059    -1.203
3133.58     90.077    -0.923
3179.16     90.126    -0.742
3225.40     90.196    -0.710
3272.31     90.273    -0.842
3319.91     90.350    -1.130
3368.20     90.418    -1.556
3417.19     90.470    -2.081
