Freq[Hz]     dBSPL  Phase[Deg]
5.00000     60.005   161.103
5.07273     60.121   160.978
5.14651     60.272   160.816
5.22137     60.475   160.604
5.29732     60.698   160.379
5.37437     60.943   160.131
5.45254     61.189   159.884
5.53185     61.435   159.635
5.61231     61.681   159.382
5.69394     61.927   159.125
5.77676     62.172   158.865
5.86079     62.418   158.601
5.94604     62.664   158.333
6.03252     62.910   158.062
6.12027     63.155   157.786
6.20929     63.401   157.506
6.29961     63.647   157.222
6.39124     63.893   156.933
6.48420     64.138   156.640
6.57851     64.384   156.342
6.67420     64.630   156.040
6.77128     64.876   155.733
6.86977     65.121   155.422
6.96969     65.367   155.105
7.07107     65.613   154.784
7.17392     65.859   154.457
7.27827     66.104   154.124
7.38413     66.350   153.787
7.49154     66.596   153.444
7.60050     66.842   153.096
7.71105     67.088   152.742
7.82321     67.333   152.383
7.93701     67.579   152.017
8.05245     67.825   151.645
8.16958     68.071   151.267
8.28841     68.316   150.883
8.40896     68.562   150.493
8.53128     68.808   150.096
8.65537     69.054   149.693
8.78126     69.299   149.283
8.90899     69.545   148.866
9.03857     69.791   148.443
9.17004     70.037   148.012
9.30342     70.282   147.576
9.43874     70.528   147.134
9.57603     70.774   146.686
9.71532     71.020   146.234
9.85663     71.265   145.780
10.0000     71.513   145.327
10.1455     71.761   144.876
10.2930     72.016   144.421
10.4427     72.275   143.944
10.5946     72.537   143.440
10.7487     72.809   142.878
10.9051     73.073   142.251
11.0637     73.333   141.590
11.2246     73.591   140.893
11.3879     73.841   140.177
11.5535     74.092   139.459
11.7216     74.344   138.724
11.8921     74.604   137.936
12.0650     74.862   137.044
12.2405     75.102   136.064
12.4186     75.320   135.047
12.5992     75.514   134.056
12.7825     75.693   133.157
12.9684     75.867   132.375
13.1570     76.046   131.702
13.3484     76.241   131.081
13.5426     76.441   130.478
13.7395     76.652   129.889
13.9394     76.877   129.271
14.1421     77.108   128.598
14.3478     77.346   127.850
14.5565     77.581   126.999
14.7683     77.802   126.063
14.9831     78.004   125.105
15.2010     78.191   124.188
15.4221     78.375   123.333
15.6464     78.557   122.544
15.8740     78.753   121.805
16.1049     78.965   121.050
16.3392     79.193   120.202
16.5768     79.418   119.207
16.8179     79.622   118.098
17.0626     79.802   116.939
17.3107     79.953   115.806
17.5625     80.078   114.816
17.8180     80.209   114.007
18.0771     80.360   113.311
18.3401     80.536   112.645
18.6068     80.735   111.918
18.8775     80.945   111.062
19.1521     81.152   110.057
19.4306     81.344   108.934
19.7133     81.518   107.749
20.0000     81.679   106.518
20.2909     81.817   105.258
20.5860     81.932   104.037
20.8855     82.036   102.863
21.1893     82.119   101.747
21.4975     82.183   100.762
21.8102     82.246    99.928
22.1274     82.313    99.217
22.4492     82.382    98.626
22.7758     82.465    98.144
23.1071     82.560    97.751
23.4432     82.676    97.439
23.7841     82.825    97.141
24.1301     83.004    96.765
24.4811     83.203    96.230
24.8372     83.402    95.500
25.1984     83.586    94.607
25.5649     83.743    93.629
25.9368     83.875    92.676
26.3141     84.008    91.770
26.6968     84.133    90.887
27.0851     84.257    90.036
27.4791     84.385    89.178
27.8788     84.504    88.319
28.2843     84.627    87.457
28.6957     84.743    86.573
29.1131     84.845    85.715
29.5365     84.947    84.902
29.9661     85.047    84.123
30.4020     85.149    83.386
30.8442     85.257    82.669
31.2929     85.371    81.931
31.7480     85.478    81.185
32.2098     85.582    80.475
32.6783     85.699    79.773
33.1536     85.812    79.074
33.6359     85.939    78.359
34.1251     86.069    77.570
34.6215     86.186    76.753
35.1250     86.312    75.912
35.6359     86.429    75.019
36.1543     86.539    74.115
36.6802     86.653    73.164
37.2137     86.743    72.190
37.7550     86.827    71.251
38.3041     86.904    70.339
38.8613     86.969    69.502
39.4265     87.048    68.731
40.0000     87.139    67.939
40.5818     87.228    67.101
41.1721     87.312    66.227
41.7710     87.386    65.330
42.3785     87.444    64.466
42.9949     87.499    63.681
43.6203     87.560    62.953
44.2548     87.631    62.242
44.8985     87.713    61.491
45.5515     87.788    60.685
46.2141     87.855    59.863
46.8863     87.918    59.034
47.5683     87.967    58.226
48.2602     88.016    57.462
48.9621     88.062    56.737
49.6743     88.111    56.048
50.3968     88.165    55.373
51.1299     88.219    54.708
51.8736     88.282    54.028
52.6281     88.343    53.292
53.3936     88.382    52.577
54.1702     88.427    51.934
54.9581     88.483    51.293
55.7575     88.534    50.642
56.5685     88.590    49.994
57.3914     88.651    49.302
58.2261     88.697    48.593
59.0730     88.741    47.915
59.9323     88.786    47.251
60.8040     88.829    46.606
61.6884     88.878    45.965
62.5857     88.928    45.300
63.4960     88.976    44.614
64.4196     89.020    43.911
65.3566     89.060    43.191
66.3073     89.091    42.460
67.2717     89.108    41.758
68.2502     89.116    41.138
69.2429     89.127    40.614
70.2501     89.148    40.171
71.2719     89.193    39.739
72.3086     89.253    39.231
73.3603     89.312    38.628
74.4274     89.369    37.929
75.5099     89.407    37.161
76.6083     89.422    36.408
77.7226     89.429    35.717
78.8531     89.429    35.090
80.0000     89.429    34.523
81.1636     89.429    34.001
82.3442     89.429    33.520
83.5419     89.429    33.081
84.7570     89.429    32.689
85.9899     89.429    32.362
87.2406     89.436    32.105
88.5096     89.453    31.919
89.7970     89.497    31.757
91.1031     89.561    31.537
92.4282     89.632    31.237
93.7726     89.716    30.837
95.1366     89.796    30.316
96.5204     89.860    29.735
97.9243     89.926    29.127
99.3486     89.989    28.462
100.794     90.045    27.737
102.260     90.091    26.969
103.747     90.126    26.168
105.256     90.145    25.357
106.787     90.151    24.572
108.340     90.148    23.827
109.916     90.134    23.134
111.515     90.114    22.513
113.137     90.094    21.961
114.783     90.074    21.474
116.452     90.060    21.045
118.146     90.054    20.646
119.865     90.054    20.259
121.608     90.060    19.878
123.377     90.074    19.486
125.171     90.094    19.056
126.992     90.114    18.582
128.839     90.134    18.062
130.713     90.148    17.495
132.615     90.151    16.907
134.543     90.148    16.314
136.500     90.135    15.725
138.486     90.112    15.169
140.500     90.083    14.653
142.544     90.042    14.209
144.617     90.002    13.871
146.721     89.975    13.594
148.855     89.952    13.352
151.020     89.943    13.130
153.217     89.945    12.874
155.445     89.946    12.581
157.706     89.948    12.263
160.000     89.946    11.929
162.327     89.942    11.590
164.688     89.932    11.264
167.084     89.923    10.968
169.514     89.914    10.693
171.980     89.909    10.446
174.481     89.914    10.196
177.019     89.923     9.914
179.594     89.932     9.604
182.206     89.942     9.257
184.856     89.946     8.888
187.545     89.948     8.513
190.273     89.947     8.129
193.041     89.945     7.739
195.849     89.940     7.341
198.697     89.931     6.936
201.587     89.922     6.516
204.520     89.908     6.067
207.494     89.879     5.617
210.512     89.839     5.207
213.574     89.787     4.871
216.681     89.728     4.665
219.833     89.692     4.548
223.030     89.671     4.419
226.274     89.658     4.233
229.565     89.638     3.988
232.905     89.601     3.746
236.292     89.551     3.580
239.729     89.496     3.534
243.216     89.453     3.607
246.754     89.436     3.718
250.343     89.429     3.806
253.984     89.429     3.870
257.678     89.429     3.922
261.426     89.429     3.998
265.229     89.434     4.123
269.087     89.453     4.301
273.001     89.500     4.491
276.972     89.582     4.576
281.000     89.679     4.468
285.088     89.774     4.149
289.234     89.851     3.645
293.441     89.898     3.048
297.709     89.921     2.452
302.040     89.928     1.906
306.433     89.934     1.407
310.890     89.943     0.907
315.412     89.945     0.392
320.000     89.943    -0.142
324.655     89.931    -0.693
329.377     89.909    -1.240
334.168     89.875    -1.765
339.028     89.832    -2.248
343.959     89.783    -2.689
348.962     89.724    -3.078
354.038     89.655    -3.374
359.188     89.588    -3.570
364.412     89.526    -3.679
369.713     89.475    -3.724
375.090     89.438    -3.754
380.546     89.408    -3.824
386.081     89.363    -3.899
391.697     89.304    -3.872
397.394     89.246    -3.687
403.175     89.198    -3.307
409.039     89.194    -2.756
414.989     89.259    -2.207
421.025     89.385    -1.878
427.149     89.542    -1.913
433.362     89.695    -2.347
439.665     89.822    -3.135
446.060     89.901    -4.169
452.548     89.930    -5.304
459.131     89.924    -6.478
465.809     89.871    -7.652
472.584     89.770    -8.731
479.458     89.619    -9.584
486.432     89.440   -10.089
493.507     89.270   -10.255
500.686     89.120   -10.153
507.968     89.019    -9.901
515.357     88.970    -9.733
522.853     88.910    -9.685
530.458     88.848    -9.656
538.174     88.781    -9.646
546.002     88.686    -9.557
553.943     88.600    -9.331
562.001     88.520    -9.009
570.175     88.445    -8.572
578.469     88.395    -8.046
586.883     88.359    -7.462
595.419     88.354    -6.853
604.080     88.376    -6.305
612.866     88.411    -5.857
621.780     88.452    -5.497
630.824     88.495    -5.213
640.000     88.529    -4.939
649.309     88.582    -4.669
658.753     88.645    -4.473
668.335     88.713    -4.361
678.056     88.789    -4.361
687.919     88.858    -4.490
697.925     88.915    -4.727
708.077     88.950    -5.039
718.376     88.956    -5.350
728.825     88.937    -5.564
739.426     88.906    -5.625
750.181     88.882    -5.546
761.093     88.866    -5.357
772.163     88.871    -5.110
783.394     88.888    -4.879
794.789     88.893    -4.608
806.349     88.906    -4.212
818.078     88.942    -3.709
829.977     89.008    -3.137
842.050     89.122    -2.572
854.298     89.291    -2.188
866.724     89.482    -2.117
879.330     89.673    -2.372
892.120     89.847    -2.956
905.097     89.967    -3.773
918.262     90.031    -4.633
931.618     90.049    -5.389
945.169     90.036    -5.933
958.917     90.016    -6.217
972.864     90.015    -6.285
987.015     90.045    -6.233
1001.37     90.108    -6.177
1015.94     90.193    -6.215
1030.71     90.270    -6.336
1045.71     90.336    -6.435
1060.92     90.403    -6.423
1076.35     90.494    -6.263
