Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -15.802  -117.176
5.07273    -15.639  -117.214
5.14651    -15.428  -117.259
5.22137    -15.147  -117.311
5.29732    -14.838  -117.352
5.37437    -14.497  -117.392
5.45254    -14.157  -117.426
5.53185    -13.816  -117.458
5.61231    -13.476  -117.491
5.69394    -13.135  -117.523
5.77676    -12.794  -117.556
5.86079    -12.454  -117.588
5.94604    -12.113  -117.620
6.03252    -11.773  -117.653
6.12027    -11.432  -117.686
6.20929    -11.091  -117.719
6.29961    -10.751  -117.752
6.39124    -10.410  -117.785
6.48420    -10.070  -117.819
6.57851     -9.729  -117.853
6.67420     -9.389  -117.887
6.77128     -9.048  -117.921
6.86977     -8.707  -117.956
6.96969     -8.367  -117.990
7.07107     -8.026  -118.026
7.17392     -7.686  -118.062
7.27827     -7.345  -118.098
7.38413     -7.004  -118.134
7.49154     -6.664  -118.171
7.60050     -6.323  -118.208
7.71105     -5.983  -118.245
7.82321     -5.642  -118.283
7.93701     -5.302  -118.321
8.05245     -4.961  -118.360
8.16958     -4.620  -118.399
8.28841     -4.280  -118.439
8.40896     -3.939  -118.479
8.53128     -3.599  -118.519
8.65537     -3.258  -118.560
8.78126     -2.918  -118.602
8.90899     -2.577  -118.644
9.03857     -2.236  -118.687
9.17004     -1.896  -118.730
9.30342     -1.555  -118.773
9.43874     -1.215  -118.817
9.57603     -0.874  -118.862
9.71532     -0.533  -118.907
9.85663     -0.193  -118.953
10.0000      0.148  -118.999
10.1455      0.488  -119.046
10.2930      0.829  -119.094
10.4427      1.169  -119.142
10.5946      1.510  -119.191
10.7487      1.851  -119.240
10.9051      2.191  -119.290
11.0637      2.532  -119.341
11.2246      2.872  -119.392
11.3879      3.213  -119.444
11.5535      3.554  -119.497
11.7216      3.894  -119.550
11.8921      4.235  -119.604
12.0650      4.575  -119.659
12.2405      4.916  -119.715
12.4186      5.256  -119.771
12.5992      5.597  -119.828
12.7825      5.938  -119.886
12.9684      6.278  -119.945
13.1570      6.619  -120.004
13.3484      6.959  -120.064
13.5426      7.300  -120.125
13.7395      7.641  -120.187
13.9394      7.981  -120.250
14.1421      8.322  -120.313
14.3478      8.662  -120.378
14.5565      9.003  -120.443
14.7683      9.343  -120.510
14.9831      9.684  -120.577
15.2010     10.025  -120.646
15.4221     10.365  -120.715
15.6464     10.706  -120.785
15.8740     11.046  -120.857
16.1049     11.387  -120.929
16.3392     11.727  -121.003
16.5768     12.068  -121.077
16.8179     12.409  -121.153
17.0626     12.749  -121.229
17.3107     13.090  -121.307
17.5625     13.430  -121.386
17.8180     13.771  -121.465
18.0771     14.112  -121.546
18.3401     14.452  -121.629
18.6068     14.793  -121.712
18.8775     15.133  -121.796
19.1521     15.474  -121.882
19.4306     15.814  -121.969
19.7133     16.155  -122.057
20.0000     16.496  -122.147
20.2909     16.836  -122.237
20.5860     17.177  -122.330
20.8855     17.517  -122.423
21.1893     17.858  -122.518
21.4975     18.199  -122.614
21.8102     18.539  -122.711
22.1274     18.880  -122.810
22.4492     19.220  -122.910
22.7758     19.561  -123.012
23.1071     19.901  -123.115
23.4432     20.242  -123.220
23.7841     20.583  -123.326
24.1301     20.923  -123.434
24.4811     21.264  -123.543
24.8372     21.604  -123.654
25.1984     21.945  -123.767
25.5649     22.285  -123.881
25.9368     22.626  -123.996
26.3141     22.967  -124.114
26.6968     23.307  -124.233
27.0851     23.648  -124.354
27.4791     23.988  -124.477
27.8788     24.329  -124.602
28.2843     24.670  -124.728
28.6957     25.010  -124.856
29.1131     25.351  -124.987
29.5365     25.691  -125.119
29.9661     26.032  -125.253
30.4020     26.372  -125.389
30.8442     26.713  -125.527
31.2929     27.054  -125.667
31.7480     27.394  -125.809
32.2098     27.735  -125.954
32.6783     28.075  -126.100
33.1536     28.416  -126.249
33.6359     28.757  -126.400
34.1251     29.097  -126.553
34.6215     29.438  -126.709
35.1250     29.778  -126.866
35.6359     30.119  -127.027
36.1543     30.459  -127.189
36.6802     30.800  -127.354
37.2137     31.141  -127.522
37.7550     31.481  -127.692
38.3041     31.822  -127.865
38.8613     32.162  -128.040
39.4265     32.503  -128.218
40.0000     32.844  -128.399
40.5818     33.184  -128.582
41.1721     33.525  -128.769
41.7710     33.865  -128.958
42.3785     34.206  -129.150
42.9949     34.546  -129.345
43.6203     34.887  -129.544
44.2548     35.228  -129.745
44.8985     35.568  -129.949
45.5515     35.909  -130.157
46.2141     36.249  -130.368
46.8863     36.590  -130.582
47.5683     36.930  -130.800
48.2602     37.271  -131.021
48.9621     37.612  -131.245
49.6743     37.952  -131.473
50.3968     38.293  -131.705
51.1299     38.633  -131.941
51.8736     38.974  -132.180
52.6281     39.315  -132.423
53.3936     39.655  -132.670
54.1702     39.996  -132.921
54.9581     40.336  -133.177
55.7575     40.677  -133.436
56.5685     41.017  -133.700
57.3914     41.358  -133.968
58.2261     41.699  -134.241
59.0730     42.039  -134.518
59.9323     42.380  -134.800
60.8040     42.720  -135.087
61.6884     43.061  -135.378
62.5857     43.402  -135.675
63.4960     43.742  -135.977
64.4196     44.083  -136.284
65.3566     44.423  -136.596
66.3073     44.764  -136.914
67.2717     45.104  -137.238
68.2502     45.445  -137.567
69.2429     45.786  -137.903
70.2501     46.126  -138.245
71.2719     46.467  -138.593
72.3086     46.807  -138.947
73.3603     47.148  -139.309
74.4274     47.488  -139.677
75.5099     47.829  -140.053
76.6083     48.170  -140.436
77.7226     48.510  -140.826
78.8531     48.851  -141.225
80.0000     49.191  -141.632
81.1636     49.532  -142.048
82.3442     49.873  -142.472
83.5419     50.213  -142.906
84.7570     50.554  -143.350
85.9899     50.894  -143.804
87.2406     51.235  -144.269
88.5096     51.575  -144.745
89.7970     51.916  -145.234
91.1031     52.257  -145.736
92.4282     52.597  -146.251
93.7726     52.938  -146.782
95.1366     53.278  -147.329
96.5204     53.619  -147.894
97.9243     53.961  -148.481
99.3486     54.302  -149.098
100.794     54.646  -149.757
102.260     54.985  -150.473
103.747     55.313  -151.233
105.256     55.636  -152.034
106.787     55.934  -152.842
108.340     56.217  -153.575
109.916     56.500  -154.227
111.515     56.773  -154.772
113.137     57.056  -155.164
114.783     57.370  -155.468
116.452     57.712  -155.748
118.146     58.096  -156.083
119.865     58.518  -156.615
121.608     58.958  -157.445
123.377     59.396  -158.633
125.171     59.813  -160.218
126.992     60.167  -162.134
128.839     60.448  -164.214
130.713     60.662  -166.341
132.615     60.791  -168.371
134.543     60.840  -170.068
136.500     60.851  -171.310
138.486     60.844  -172.078
140.500     60.839  -172.365
142.544     60.862  -172.221
144.617     60.931  -171.741
146.721     61.051  -171.026
148.855     61.226  -170.179
151.020     61.449  -169.272
153.217     61.721  -168.364
155.445     62.036  -167.516
157.706     62.389  -166.769
160.000     62.774  -166.141
162.327     63.192  -165.660
164.688     63.640  -165.387
167.084     64.106  -165.371
169.514     64.580  -165.641
171.980     65.046  -166.206
174.481     65.480  -167.001
177.019     65.890  -167.949
179.594     66.269  -168.990
182.206     66.618  -170.025
184.856     66.959  -171.010
187.545     67.301  -171.972
190.273     67.648  -172.958
193.041     68.002  -174.038
