Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -35.265   -30.021
5.07273    -34.781   -29.656
5.14651    -34.297   -29.296
5.22137    -33.812   -28.940
5.29732    -33.327   -28.588
5.37437    -32.841   -28.240
5.45254    -32.355   -27.896
5.53185    -31.868   -27.557
5.61231    -31.380   -27.222
5.69394    -30.892   -26.891
5.77676    -30.403   -26.564
5.86079    -29.914   -26.241
5.94604    -29.424   -25.922
6.03252    -28.933   -25.608
6.12027    -28.442   -25.297
6.20929    -27.951   -24.991
6.29961    -27.459   -24.688
6.39124    -26.966   -24.390
6.48420    -26.473   -24.095
6.57851    -25.979   -23.805
6.67420    -25.485   -23.518
6.77128    -24.991   -23.236
6.86977    -24.496   -22.957
6.96969    -24.000   -22.682
7.07107    -23.504   -22.412
7.17392    -23.007   -22.145
7.27827    -22.510   -21.882
7.38413    -22.012   -21.622
7.49154    -21.514   -21.367
7.60050    -21.016   -21.115
7.71105    -20.516   -20.867
7.82321    -20.017   -20.623
7.93701    -19.517   -20.382
8.05245    -19.016   -20.145
8.16958    -18.515   -19.912
8.28841    -18.013   -19.682
8.40896    -17.511   -19.456
8.53128    -17.008   -19.234
8.65537    -16.505   -19.015
8.78126    -16.001   -18.800
8.90899    -15.497   -18.588
9.03857    -14.992   -18.380
9.17004    -14.487   -18.175
9.30342    -13.981   -17.974
9.43874    -13.475   -17.776
9.57603    -12.968   -17.581
9.71532    -12.461   -17.390
9.85663    -11.953   -17.202
10.0000    -11.444   -17.018
10.1455    -10.935   -16.837
10.2930    -10.425   -16.659
10.4427     -9.915   -16.485
10.5946     -9.404   -16.313
10.7487     -8.893   -16.145
10.9051     -8.380   -15.981
11.0637     -7.868   -15.819
11.2246     -7.354   -15.661
11.3879     -6.840   -15.506
11.5535     -6.325   -15.354
11.7216     -5.810   -15.205
11.8921     -5.294   -15.059
12.0650     -4.777   -14.917
12.2405     -4.259   -14.777
12.4186     -3.741   -14.641
12.5992     -3.222   -14.507
12.7825     -2.702   -14.377
12.9684     -2.181   -14.250
13.1570     -1.659   -14.126
13.3484     -1.137   -14.005
13.5426     -0.614   -13.887
13.7395     -0.089   -13.772
13.9394      0.436   -13.660
14.1421      0.962   -13.552
14.3478      1.489   -13.446
