Freq[Hz]  Imp[Ohm]  Phase[Deg]
5.00000      3.290     0.447
5.07273      3.290     0.450
5.14651      3.290     0.454
5.22137      3.290     0.459
5.29732      3.290     0.465
5.37437      3.290     0.471
5.45254      3.290     0.477
5.53185      3.290     0.484
5.61231      3.290     0.490
5.69394      3.290     0.497
5.77676      3.290     0.504
5.86079      3.290     0.511
5.94604      3.290     0.518
6.03252      3.290     0.525
6.12027      3.290     0.532
6.20929      3.290     0.540
6.29961      3.290     0.547
6.39124      3.290     0.555
6.48420      3.291     0.562
6.57851      3.291     0.570
6.67420      3.291     0.578
6.77128      3.291     0.586
6.86977      3.291     0.594
6.96969      3.291     0.603
7.07107      3.291     0.611
7.17392      3.291     0.619
7.27827      3.291     0.628
7.38413      3.291     0.637
7.49154      3.291     0.646
7.60050      3.291     0.655
7.71105      3.291     0.664
7.82321      3.291     0.673
7.93701      3.291     0.683
8.05245      3.291     0.692
8.16958      3.291     0.702
8.28841      3.291     0.712
8.40896      3.291     0.722
8.53128      3.291     0.732
8.65537      3.291     0.742
8.78126      3.291     0.753
8.90899      3.291     0.763
9.03857      3.292     0.774
9.17004      3.292     0.785
9.30342      3.292     0.796
9.43874      3.292     0.807
9.57603      3.292     0.819
9.71532      3.292     0.830
9.85663      3.292     0.842
10.0000      3.292     0.854
10.1455      3.292     0.866
10.2930      3.292     0.878
10.4427      3.292     0.890
10.5946      3.292     0.903
10.7487      3.292     0.916
10.9051      3.292     0.929
11.0637      3.292     0.942
11.2246      3.293     0.955
11.3879      3.293     0.968
11.5535      3.293     0.982
11.7216      3.293     0.996
11.8921      3.293     1.010
12.0650      3.293     1.024
12.2405      3.293     1.039
12.4186      3.293     1.053
12.5992      3.293     1.068
12.7825      3.293     1.083
12.9684      3.294     1.099
13.1570      3.294     1.114
13.3484      3.294     1.130
13.5426      3.294     1.146
13.7395      3.294     1.162
13.9394      3.294     1.178
14.1421      3.294     1.195
14.3478      3.294     1.212
14.5565      3.295     1.229
14.7683      3.295     1.246
14.9831      3.295     1.264
15.2010      3.295     1.282
15.4221      3.295     1.300
15.6464      3.295     1.318
15.8740      3.295     1.337
16.1049      3.296     1.356
16.3392      3.296     1.375
16.5768      3.296     1.394
16.8179      3.296     1.414
17.0626      3.296     1.434
17.3107      3.296     1.454
17.5625      3.297     1.475
17.8180      3.297     1.496
18.0771      3.297     1.517
18.3401      3.297     1.538
18.6068      3.297     1.560
18.8775      3.298     1.582
19.1521      3.298     1.604
19.4306      3.298     1.626
19.7133      3.298     1.649
20.0000      3.299     1.672
20.2909      3.299     1.696
20.5860      3.299     1.720
20.8855      3.299     1.744
21.1893      3.300     1.768
21.4975      3.300     1.793
21.8102      3.300     1.818
22.1274      3.300     1.844
22.4492      3.301     1.869
22.7758      3.301     1.896
23.1071      3.301     1.922
23.4432      3.302     1.949
23.7841      3.302     1.976
24.1301      3.302     2.004
24.4811      3.303     2.032
24.8372      3.303     2.060
25.1984      3.303     2.089
25.5649      3.304     2.118
25.9368      3.304     2.147
26.3141      3.305     2.177
26.6968      3.305     2.207
27.0851      3.305     2.238
27.4791      3.306     2.269
27.8788      3.306     2.300
28.2843      3.307     2.332
28.6957      3.307     2.364
29.1131      3.308     2.397
29.5365      3.308     2.430
29.9661      3.309     2.464
30.4020      3.309     2.498
30.8442      3.310     2.532
31.2929      3.310     2.567
31.7480      3.311     2.602
32.2098      3.311     2.638
32.6783      3.312     2.674
33.1536      3.312     2.711
33.6359      3.313     2.748
34.1251      3.314     2.785
34.6215      3.314     2.823
35.1250      3.315     2.862
35.6359      3.316     2.901
36.1543      3.316     2.940
36.6802      3.317     2.980
37.2137      3.318     3.020
37.7550      3.318     3.061
38.3041      3.319     3.103
38.8613      3.320     3.145
39.4265      3.321     3.187
40.0000      3.322     3.230
40.5818      3.322     3.273
41.1721      3.323     3.317
41.7710      3.324     3.362
42.3785      3.325     3.407
42.9949      3.326     3.452
43.6203      3.327     3.498
44.2548      3.328     3.545
44.8985      3.329     3.592
45.5515      3.330     3.639
46.2141      3.331     3.688
46.8863      3.332     3.736
47.5683      3.333     3.785
48.2602      3.335     3.835
48.9621      3.336     3.885
49.6743      3.337     3.936
50.3968      3.338     3.987
51.1299      3.340     4.039
51.8736      3.341     4.092
52.6281      3.342     4.145
53.3936      3.344     4.198
54.1702      3.345     4.252
54.9581      3.347     4.307
55.7575      3.348     4.362
56.5685      3.350     4.417
57.3914      3.351     4.473
58.2261      3.353     4.530
59.0730      3.355     4.587
59.9323      3.356     4.645
60.8040      3.358     4.703
61.6884      3.360     4.761
62.5857      3.362     4.820
63.4960      3.364     4.880
64.4196      3.366     4.940
65.3566      3.368     5.000
66.3073      3.370     5.061
67.2717      3.372     5.122
68.2502      3.374     5.184
69.2429      3.376     5.246
70.2501      3.378     5.308
71.2719      3.381     5.370
72.3086      3.383     5.433
73.3603      3.386     5.496
74.4274      3.388     5.560
75.5099      3.391     5.623
76.6083      3.393     5.687
77.7226      3.396     5.751
78.8531      3.399     5.815
80.0000      3.402     5.878
81.1636      3.405     5.942
82.3442      3.408     6.006
83.5419      3.411     6.069
84.7570      3.414     6.132
85.9899      3.417     6.194
87.2406      3.421     6.256
88.5096      3.424     6.317
89.7970      3.428     6.376
91.1031      3.432     6.435
92.4282      3.435     6.491
93.7726      3.439     6.546
95.1366      3.443     6.596
96.5204      3.447     6.642
97.9243      3.451     6.682
99.3486      3.455     6.715
100.794      3.458     6.742
102.260      3.460     6.770
103.747      3.461     6.801
105.256      3.462     6.842
106.787      3.462     6.897
108.340      3.462     6.967
109.916      3.462     7.056
111.515      3.463     7.165
113.137      3.465     7.292
114.783      3.470     7.420
116.452      3.477     7.523
118.146      3.484     7.596
119.865      3.491     7.641
121.608      3.496     7.662
123.377      3.498     7.687
125.171      3.499     7.734
126.992      3.499     7.809
128.839      3.500     7.913
130.713      3.501     8.042
132.615      3.505     8.191
134.543      3.511     8.351
136.500      3.520     8.507
138.486      3.533     8.633
140.500      3.549     8.696
142.544      3.565     8.677
144.617      3.578     8.586
146.721      3.587     8.444
148.855      3.589     8.291
151.020      3.587     8.167
153.217      3.581     8.092
155.445      3.574     8.067
157.706      3.567     8.084
160.000      3.560     8.137
162.327      3.554     8.224
164.688      3.548     8.343
167.084      3.543     8.488
169.514      3.539     8.655
171.980      3.537     8.835
174.481      3.536     9.027
177.019      3.536     9.229
179.594      3.537     9.444
182.206      3.540     9.666
184.856      3.546     9.880
187.545      3.554    10.074
190.273      3.562    10.247
193.041      3.571    10.395
195.849      3.580    10.518
198.697      3.588    10.623
201.587      3.595    10.712
204.520      3.601    10.788
207.494      3.605    10.860
210.512      3.607    10.943
213.574      3.608    11.048
216.681      3.608    11.180
219.833      3.608    11.342
223.030      3.609    11.533
226.274      3.611    11.749
229.565      3.616    11.977
232.905      3.623    12.193
236.292      3.630    12.398
239.729      3.638    12.592
243.216      3.645    12.781
246.754      3.652    12.977
250.343      3.659    13.172
253.984      3.666    13.370
257.678      3.674    13.573
261.426      3.681    13.781
265.229      3.688    14.010
269.087      3.697    14.253
273.001      3.706    14.508
276.972      3.718    14.764
281.000      3.731    15.001
285.088      3.742    15.240
289.234      3.756    15.480
293.441      3.770    15.709
297.709      3.784    15.941
302.040      3.799    16.169
306.433      3.813    16.400
310.890      3.828    16.647
315.412      3.844    16.895
320.000      3.861    17.150
324.655      3.880    17.403
329.377      3.901    17.640
334.168      3.921    17.865
339.028      3.941    18.085
343.959      3.961    18.308
348.962      3.981    18.538
354.038      4.001    18.782
359.188      4.023    19.035
364.412      4.046    19.294
369.713      4.069    19.568
375.090      4.096    19.844
380.546      4.124    20.115
386.081      4.154    20.385
391.697      4.185    20.644
397.394      4.216    20.903
403.175      4.249    21.175
409.039      4.284    21.455
414.989      4.322    21.738
421.025      4.362    22.022
427.149      4.406    22.301
433.362      4.455    22.561
439.665      4.506    22.796
446.060      4.562    22.995
452.548      4.617    23.160
459.131      4.673    23.308
465.809      4.730    23.448
472.584      4.788    23.594
479.458      4.849    23.764
486.432      4.919    23.932
493.507      4.995    24.060
500.686      5.076    24.149
507.968      5.164    24.187
515.357      5.255    24.160
522.853      5.348    24.084
530.458      5.447    23.963
538.174      5.548    23.793
546.002      5.655    23.578
553.943      5.768    23.299
562.001      5.885    22.940
570.175      6.006    22.501
578.469      6.128    21.984
586.883      6.252    21.392
595.419      6.377    20.724
604.080      6.501    19.995
612.866      6.628    19.210
621.780      6.759    18.346
630.824      6.891    17.390
640.000      7.026    16.327
649.309      7.158    15.146
658.753      7.285    13.848
668.335      7.403    12.440
678.056      7.509    10.936
687.919      7.604     9.343
697.925      7.683     7.666
708.077      7.743     5.921
718.376      7.784     4.125
728.825      7.800     2.308
739.426      7.796     0.498
750.181      7.771    -1.295
761.093      7.727    -3.056
772.163      7.663    -4.762
783.394      7.582    -6.397
794.789      7.488    -7.955
806.349      7.381    -9.425
818.078      7.263   -10.791
829.977      7.139   -12.057
842.050      7.007   -13.212
854.298      6.871   -14.240
866.724      6.737   -15.148
879.330      6.605   -15.950
892.120      6.475   -16.646
905.097      6.355   -17.267
918.262      6.236   -17.825
931.618      6.121   -18.316
945.169      6.010   -18.747
958.917      5.902   -19.114
972.864      5.800   -19.424
987.015      5.701   -19.682
1001.37      5.608   -19.899
1015.94      5.519   -20.081
1030.71      5.433   -20.223
1045.71      5.354   -20.342
1060.92      5.276   -20.442
1076.35      5.202   -20.515
1092.00      5.132   -20.575
1107.89      5.065   -20.625
1124.00      4.999   -20.671
1140.35      4.933   -20.696
1156.94      4.873   -20.710
1173.77      4.811   -20.726
1190.84      4.749   -20.718
1208.16      4.689   -20.690
1225.73      4.628   -20.636
1243.56      4.571   -20.551
1261.65      4.516   -20.461
1280.00      4.458   -20.345
1298.62      4.405   -20.204
1317.51      4.351   -20.059
1336.67      4.296   -19.873
1356.11      4.243   -19.648
1375.84      4.191   -19.386
1395.85      4.141   -19.086
1416.15      4.093   -18.746
1436.75      4.047   -18.363
1457.65      4.007   -17.958
1478.85      3.966   -17.526
1500.36      3.930   -17.051
1522.19      3.899   -16.574
1544.33      3.870   -16.097
1566.79      3.844   -15.607
1589.58      3.823   -15.127
1612.70      3.803   -14.666
1636.16      3.784   -14.210
1659.95      3.769   -13.770
1684.10      3.753   -13.348
1708.60      3.739   -12.933
1733.45      3.725   -12.524
1758.66      3.711   -12.106
1784.24      3.699   -11.673
1810.19      3.690   -11.247
1836.52      3.684   -10.838
1863.24      3.679   -10.465
1890.34      3.673   -10.124
1917.83      3.666    -9.787
1945.73      3.659    -9.442
1974.03      3.652    -9.085
2002.74      3.647    -8.715
2031.87      3.646    -8.356
2061.43      3.645    -8.019
2091.41      3.645    -7.705
2121.83      3.645    -7.411
2152.69      3.645    -7.132
2184.01      3.645    -6.864
2215.77      3.645    -6.607
2248.00      3.645    -6.358
2280.70      3.645    -6.117
2313.87      3.645    -5.883
2347.53      3.645    -5.654
2381.68      3.645    -5.431
2416.32      3.645    -5.212
2451.46      3.645    -4.998
2487.12      3.645    -4.787
2523.30      3.645    -4.580
2560.00      3.645    -4.375
2597.24      3.645    -4.172
2635.01      3.645    -3.970
2673.34      3.645    -3.768
2712.23      3.645    -3.566
2751.68      3.645    -3.360
2791.70      3.645    -3.146
2832.31      3.646    -2.922
2873.50      3.647    -2.690
2915.30      3.652    -2.464
2957.70      3.659    -2.269
3000.72      3.666    -2.110
3044.37      3.673    -1.987
3088.65      3.678    -1.894
3133.58      3.680    -1.807
3179.16      3.681    -1.710
3225.40      3.681    -1.602
3272.31      3.681    -1.484
3319.91      3.681    -1.361
3368.20      3.681    -1.234
3417.19      3.681    -1.104
3466.89      3.681    -0.973
3517.32      3.681    -0.839
3568.48      3.681    -0.703
3620.39      3.681    -0.566
3673.05      3.681    -0.426
3726.47      3.681    -0.284
3780.67      3.681    -0.140
3835.67      3.681     0.008
3891.46      3.681     0.161
3948.06      3.681     0.320
4005.49      3.681     0.490
4063.75      3.682     0.672
4122.86      3.684     0.866
4182.82      3.688     1.060
4243.66      3.695     1.231
4305.39      3.702     1.370
4368.01      3.709     1.478
4431.55      3.714     1.560
4496.01      3.716     1.636
4561.40      3.717     1.725
4627.75      3.718     1.833
4695.06      3.718     1.963
4763.35      3.718     2.112
4832.64      3.720     2.277
4902.93      3.725     2.443
4974.24      3.732     2.584
5046.60      3.739     2.695
5120.00      3.746     2.777
5194.47      3.751     2.834
5270.03      3.753     2.890
5346.68      3.754     2.962
5424.45      3.754     3.052
5503.35      3.754     3.160
5583.40      3.754     3.285
5664.61      3.755     3.429
5747.01      3.757     3.587
5830.60      3.762     3.746
5915.41      3.769     3.881
6001.45      3.776     3.986
6088.74      3.783     4.063
6177.30      3.788     4.115
6267.15      3.790     4.167
6358.31      3.790     4.234
6450.80      3.790     4.318
6544.62      3.790     4.419
6639.82      3.790     4.534
6736.40      3.790     4.664
6834.38      3.791     4.811
6933.79      3.793     4.975
7034.64      3.796     5.145
7136.96      3.803     5.302
7240.77      3.810     5.435
7346.09      3.817     5.541
7452.94      3.822     5.626
7561.35      3.825     5.707
7671.33      3.827     5.809
7782.91      3.828     5.938
7896.12      3.830     6.095
8010.97      3.835     6.264
8127.49      3.842     6.420
8245.71      3.849     6.561
8365.65      3.857     6.688
8487.33      3.866     6.796
8610.78      3.874     6.891
8736.03      3.882     6.974
8863.09      3.889     7.046
8992.01      3.894     7.113
9122.80      3.899     7.184
9255.50      3.902     7.277
9390.12      3.908     7.383
9526.70      3.915     7.481
9665.27      3.921     7.561
9805.86      3.928     7.622
9948.49      3.933     7.667
10093.2      3.935     7.721
10240.0      3.936     7.801
10388.9      3.937     7.911
10540.1      3.939     8.048
10693.4      3.944     8.193
10848.9      3.951     8.323
11006.7      3.958     8.432
11166.8      3.965     8.523
11329.2      3.970     8.604
11494.0      3.973     8.699
11661.2      3.976     8.822
11830.8      3.980     8.960
12002.9      3.987     9.090
12177.5      3.994     9.207
12354.6      4.001     9.311
12534.3      4.007     9.409
12716.6      4.011     9.523
12901.6      4.017     9.653
13089.2      4.024     9.780
13279.6      4.031     9.902
13472.8      4.039    10.018
13668.8      4.046    10.128
13867.6      4.052    10.243
14069.3      4.060    10.355
14273.9      4.067    10.465
14481.5      4.075    10.573
14692.2      4.082    10.679
14905.9      4.089    10.792
15122.7      4.097    10.903
15342.7      4.104    11.014
15565.8      4.112    11.125
15792.2      4.118    11.236
16021.9      4.125    11.356
16255.0      4.133    11.481
16491.4      4.141    11.607
16731.3      4.150    11.735
16974.7      4.160    11.853
17221.6      4.169    11.962
17472.1      4.177    12.075
17726.2      4.186    12.191
17984.0      4.196    12.302
18245.6      4.205    12.410
18511.0      4.214    12.523
18780.2      4.223    12.642
19053.4      4.233    12.762
19330.5      4.242    12.879
19611.7      4.252    13.001
19897.0      4.264    13.118
20186.4      4.276    13.215
20480.0      4.286    13.308
20777.9      4.296    13.409
21080.1      4.306    13.513
21386.7      4.315    13.621
21697.8      4.325    13.739
22013.4      4.337    13.854
22333.6      4.349    13.953
22658.4      4.359    14.050
22988.0      4.370    14.152
23322.4      4.380    14.255
23661.6      4.390    14.364
24005.8      4.400    14.485
24355.0      4.411    14.612
24709.2      4.423    14.734
25068.6      4.434    14.863
25433.2      4.447    14.999
25803.2      4.461    15.125
26178.5      4.475    15.247
26559.3      4.491    15.358
26945.6      4.505    15.460
27337.5      4.519    15.563
27735.2      4.534    15.659
28138.6      4.547    15.761
28547.9      4.562    15.863
28963.1      4.576    15.962
29384.4      4.590    16.064
29811.8      4.605    16.163
30245.4      4.619    16.264
30685.3      4.635    16.367
31131.7      4.649    16.471
31584.5      4.664    16.587
32043.9      4.680    16.708
32510.0      4.696    16.836
32982.8      4.716    16.956
33462.6      4.737    17.055
33949.3      4.756    17.145
34443.1      4.777    17.227
34944.1      4.798    17.298
35452.4      4.819    17.362
35968.0      4.840    17.413
36491.2      4.861    17.453
37022.0      4.881    17.486
37560.5      4.901    17.512
38106.8      4.918    17.534
38661.1      4.934    17.558
39223.4      4.947    17.570
39793.9      4.956    17.572
